160 294
50 0 0
88 4 0
142 8 0
132 12 0
24 16 0
99 20 0
123 24 0
124 28 0
60 32 0
137 36 0
22 40 0
46 44 0
29 48 0
38 52 0
105 56 0
95 60 0
59 0 4
148 4 4
83 8 4
7 12 4
151 16 4
65 20 4
45 24 4
42 28 4
30 32 4
139 36 4
130 40 4
110 44 4
4 48 4
28 52 4
113 56 4
78 60 4
79 0 8
8 4 8
23 8 8
120 12 8
6 16 8
0 20 8
39 24 8
108 28 8
82 32 8
86 36 8
85 40 8
21 44 8
66 48 8
157 52 8
80 56 8
56 60 8
111 0 12
13 4 12
107 8 12
15 12 12
52 16 12
67 20 12
84 24 12
125 28 12
32 32 12
92 36 12
94 40 12
70 44 12
57 48 12
106 52 12
9 56 12
58 60 12
96 0 16
158 4 16
49 8 16
128 12 16
89 16 16
47 20 16
81 24 16
14 28 16
74 32 16
5 36 16
155 40 16
150 44 16
93 48 16
100 52 16
48 56 16
121 60 16
27 0 20
126 4 20
54 8 20
159 12 20
135 16 20
141 20 20
90 24 20
114 28 20
31 32 20
116 36 20
97 40 20
75 44 20
33 48 20
134 52 20
122 56 20
152 60 20
136 0 24
146 4 24
40 8 24
68 12 24
41 16 24
2 20 24
91 24 24
51 28 24
10 32 24
102 36 24
64 40 24
118 44 24
101 48 24
117 52 24
119 56 24
76 60 24
16 0 28
140 4 28
145 8 28
36 12 28
147 16 28
71 20 28
98 24 28
131 28 28
25 32 28
127 36 28
20 40 28
12 44 28
63 48 28
153 52 28
26 56 28
115 60 28
43 0 32
69 4 32
11 8 32
19 12 32
55 16 32
3 20 32
1 24 32
149 28 32
37 32 32
17 36 32
112 40 32
144 44 32
34 48 32
138 52 32
53 56 32
87 60 32
61 0 36
109 4 36
103 8 36
44 12 36
129 16 36
35 20 36
154 24 36
18 28 36
73 32 36
143 36 36
62 40 36
77 44 36
133 48 36
104 52 36
156 56 36
72 60 36
50 88
50 59
88 142
88 148
142 132
142 83
132 24
132 7
24 99
24 151
99 123
99 65
123 124
123 45
124 60
124 42
60 137
60 30
137 22
137 139
22 46
22 130
46 29
46 110
29 38
29 4
38 105
38 28
105 95
105 113
95 78
59 148
59 79
148 83
148 8
83 7
83 23
7 151
7 120
151 65
151 6
65 45
65 0
45 42
45 39
42 30
42 108
30 139
30 82
139 130
139 86
130 110
130 85
110 4
110 21
4 28
4 66
28 113
28 157
113 78
113 80
78 56
79 8
79 111
8 23
8 13
23 120
23 107
120 6
120 15
6 0
6 52
0 39
0 67
39 108
39 84
108 82
108 125
82 86
82 32
86 85
86 92
85 21
85 94
21 66
21 70
66 157
66 57
157 80
157 106
80 56
80 9
56 58
111 13
111 96
13 107
13 158
107 15
107 49
15 52
15 128
52 67
52 89
67 84
67 47
84 125
84 81
125 32
125 14
32 92
32 74
92 94
92 5
94 70
94 155
70 57
70 150
57 106
57 93
106 9
106 100
9 58
9 48
58 121
96 158
96 27
158 49
158 126
49 128
49 54
128 89
128 159
89 47
89 135
47 81
47 141
81 14
81 90
14 74
14 114
74 5
74 31
5 155
5 116
155 150
155 97
150 93
150 75
93 100
93 33
100 48
100 134
48 121
48 122
121 152
27 126
27 136
126 54
126 146
54 159
54 40
159 135
159 68
135 141
135 41
141 90
141 2
90 114
90 91
114 31
114 51
31 116
31 10
116 97
116 102
97 75
97 64
75 33
75 118
33 134
33 101
134 122
134 117
122 152
122 119
152 76
136 146
136 16
146 40
146 140
40 68
40 145
68 41
68 36
41 2
41 147
2 91
2 71
91 51
91 98
51 10
51 131
10 102
10 25
102 64
102 127
64 118
64 20
118 101
118 12
101 117
101 63
117 119
117 153
119 76
119 26
76 115
16 140
16 43
140 145
140 69
145 36
145 11
36 147
36 19
147 71
147 55
71 98
71 3
98 131
98 1
131 25
131 149
25 127
25 37
127 20
127 17
20 12
20 112
12 63
12 144
63 153
63 34
153 26
153 138
26 115
26 53
115 87
43 69
43 61
69 11
69 109
11 19
11 103
19 55
19 44
55 3
55 129
3 1
3 35
1 149
1 154
149 37
149 18
37 17
37 73
17 112
17 143
112 144
112 62
144 34
144 77
34 138
34 133
138 53
138 104
53 87
53 156
87 72
61 109
109 103
103 44
44 129
129 35
35 154
154 18
18 73
73 143
143 62
62 77
77 133
133 104
104 156
156 72
